Group,Category,Activity Code,Activity Name,When,Third_Party,Activity Name (Arabic),Notes
479,Wholesale and Retail,4791,Retail sale via mail order houses or via Internet,N/A,N/A,البيع بالتجزئة عن طريق بيوت تنفيذ طلبات الشراء أو عن طريق الإنترنت,
479,Wholesale and Retail,4791.01,Retail sale of any kind of product by mail order,N/A,N/A,بيع أي نوع من أنواع المنتجات بالتجزئة عن طريق البريد,
479,Wholesale and Retail,4791.02,Retail sale of any kind of product over the internet,N/A,N/A,بيع أي نوع من أنواع المنتجات بالتجزئة عن طريق الانترنت,
479,Wholesale and Retail,4791.03,Direct sale via television and radio,N/A,N/A,البيع المباشر عن طريق التليفزيون والإذاعة,
479,Wholesale and Retail,4791.04,Internet retail auctions,N/A,N/A,مزادات البيع بالتجزئة على الإنترنت,
479,Wholesale and Retail,4799,"Other retail sale not in stores, stalls or markets",N/A,N/A,أنواع البيع بالتجزئة الأخرى خارج المتاجر والأكشاك والأسواق,
479,Wholesale and Retail,4799.01,Retail sale of any kind of product:<br> \u2022 By direct sales or door-to-door sales persons<br> \u2022 Through vending machines etc.,N/A,N/A,"بيع أي نوع من المنتجات بالتجزئة: 
\u2022 بالبيع المباشر أو عن طريق البائعين الجوالين
\u2022 من خلال ماكينات البيع وما إليها",
479,Wholesale and Retail,4799.02,"Direct selling of fuel (heating oil, fire wood etc.), delivered directly to the customers premises",N/A,N/A,البيع المباشر للوقود (زيت التدفئة وخشب الوقود وما إليهما) ، وتوصيله مباشرة إلى أماكن الزبائن,
479,Wholesale and Retail,4799.03,Activities of non-store auctions (retail),N/A,N/A,أنشطة المزادات في غير المتاجر (بالتجزئة),
479,Wholesale and Retail,4799.04,Retail sale by (non-store) commission agents,N/A,N/A,البيع بالتجزئة عن طريق عملاء بالعمولة (في غير المتاجر),
522,Service and Consultancy,5224,Cargo handling,N/A,N/A,مناولة البضائع,
522,Service and Consultancy,5224.01,Loading and unloading of goods or passengers\u2019 luggage irrespective of the mode of transport used for transportation,N/A,N/A,شحن وتفريغ البضائع أو حقائب الركاب بغض النظر عن طريقة النقل المستعملة,
522,Service and Consultancy,5224.02,Stevedoring,N/A,N/A,شحن السفن أو تفريغها,
522,Service and Consultancy,5224.03,Loading and unloading of freight railway cars,N/A,N/A,تحميل وتفريغ عربات البضائع على السكك الحديدية,
522,Service and Consultancy,5229,Other transportation support activities,N/A,N/A,أنشطة دعم النقل الأخرى,
522,Service and Consultancy,5229.01,Forwarding of freight,N/A,N/A,إرسال البضائع,
522,Service and Consultancy,5229.02,"Arranging or organizing of transport operations by rail, road, sea or air",N/A,N/A,ترتيب أو تنظيم عمليات النقل بالسكك الحديدية والنقل البري والبحري والجوي,
522,Service and Consultancy,5229.03,Organization of group and individual consignments (including pickup and delivery of goods and grouping of consignments),N/A,N/A,تنظيم الشحنات الجماعية والفردية (بما في ذلك تسلم البضائع وتوصيلها و تجميع الشحنات),
522,Service and Consultancy,5229.04,"Logistics activities, i.e. planning, designing and supporting operations of transportation, warehousing and distribution",N/A,N/A,الأنشطة اللوجستية، أي عمليات التخطيط والتصميم والعمليات الداعمة للنقل والتخزين والتوزيع,
522,Service and Consultancy,5229.05,Issue and procurement of transport documents and waybills,N/A,N/A,إصدار مستندات الشحن وبوالص الشحن وإعدادها,
522,Service and Consultancy,5229.06,Activities of customs agents,PRE,Sharjah Ports and Customs,أنشطة الوكلاء الجمركيين,
522,Service and Consultancy,5229.07,Activities of sea-freight forwarders and air-cargo agents,PRE,Department Of Civil Aviation &amp; Sharjah Airport Authority / Sharjah Ports and Customs,أنشطة وكلاء إرسال البضائع بالبحر والجو,
522,Service and Consultancy,5229.09,"Goods-handling operations, e.g. temporary crating for the sole purpose of protecting the goods during transit, uncrating, sampling, weighing of goods",N/A,N/A,عمليات مناولة البضائع، مثل التعبئة المؤقتة في صناديق لغرض حماية البضاعة أثناء النقل، وتفريغ البضاعة من الصناديق وفرزها ووزنها,
532,Service and Consultancy,5320,Courier activities,PRE,Emirates Post Sharjah Central Post Office,أنشطة شركات نقل البريد الخاصة,
532,Service and Consultancy,5320.01,"Pickup, sorting, transport and delivery (domestic or international) of letter-post and (mail-type) parcels and packages by firms not operating under a universal service obligation. one or more modes of transport may be involved and the activity may be carried out with either self-owned (private) transport or via public transport.",PRE,Emirates Post Sharjah Central Post Office,تسلم وفرز ونقل وتوصيل الرسائل البريدية والطرود البريدية والُرزم (محليا ودوليا) من قِبل شركات تعمل وفق التزام الخدمة البريدية العامة الشاملة. ويمكن أن تستخدم وسيلة نقل أو أكثر هذا النشاط كما يمكن القيام به باستخدام وسائل النقل الخاصة أو العامة,
532,Service and Consultancy,5320.02,Distribution and delivery of mail and parcels,PRE,Emirates Post Sharjah Central Post Office,توزيع وتوصيل الرسائل البريدية والطرود,
532,Service and Consultancy,5320.03,Home delivery services,PRE,Emirates Post Sharjah Central Post Office,خدمات التوصيل للمنازل,
561,Service and Consultancy,5610,Restaurants and mobile food service activities,POST,Sharjah City Municipality - Public Health Department,أنشطة المطاعم وخدمات الأطعمة المتنقلة,
561,Service and Consultancy,5610.01,Restaurants,POST,Sharjah City Municipality - Public Health Department,المطاعم,
561,Service and Consultancy,5610.02,Cafeterias,POST,Sharjah City Municipality - Public Health Department,الكافيتريات,
561,Service and Consultancy,5610.03,Fast-food restaurants,POST,Sharjah City Municipality - Public Health Department,مطاعم الوجبات السريعة,
561,Service and Consultancy,5610.04,Pizza delivery,N/A,N/A,توصيل البيتزا,
561,Service and Consultancy,5610.05,Take-out eating places,N/A,N/A,أماكن تقدم الوجبات التي تحمل إلى خارج المحل,
561,Service and Consultancy,5610.06,Ice cream truck vendors,N/A,N/A,عربات بيع الآيس كريم,
561,Service and Consultancy,5610.07,Mobile food carts,POST,Food Control Section - Sharjah Municibality,عربات بيع الأطعمة المتنقلة,
561,Service and Consultancy,5610.08,Food preparation in market stalls,POST,Sharjah City Municipality - Public Health Department,تحضير الوجبات في الأكشاك و الأسواق,
562,Service and Consultancy,5621,Event catering,POST,Sharjah City Municipality - Public Health Department,تقديم وجبات الطعام في المناسبات,
562,Service and Consultancy,5621.01,Event catering,POST,Sharjah City Municipality - Public Health Department,تقديم الوجبات في المناسبات,
562,Service and Consultancy,5629,Other food service activities,POST,Food Control Section - Sharjah Municibality,أنشطة خدمات الطعام الأخرى,
562,Service and Consultancy,5629.01,Activities of food service contractors (e.g. for transportation companies),N/A,N/A,أنشطة المتعهدين الذين يقدمون خدمات الطعام (مثلا لشركات النقل),
562,Service and Consultancy,5629.02,Operation of food concessions at sports and similar facilities,N/A,N/A,تشغيل خدمات تقديم الطعام في المرافق الرياضية وما شابهها على أساس امتياز محدد,
562,Service and Consultancy,5629.03,"Operation of canteens or cafeterias (e.g. for factories, offices, hospitals or schools) on a concession basis",POST,Sharjah City Municipality - Public Health Department,تشغيل المقاصف والكافيتريات (مثلا المصانع والمكاتب والمستشفيات والمدارس) على أساس امتياز محدد,
581,Media,5811,Book publishing,POST,UAE Media Council,نشر الكُتب,
581,Media,5811.01,"Publishing of books, brochures, leaflets and similar publications, including publishing of dictionaries and encyclopedias",POST,UAE Media Council,نشر الُكتب والكتيبات والنشرات وغيرها من المطبوعات بما في ذلك نشر القواميس ودوائر المعارف,
581,Media,5811.02,"Publishing of atlases, maps and charts",POST,UAE Media Council,نشر الأطالس والخرائط واللوحات,
581,Media,5811.03,Publishing of audio books,POST,UAE Media Council,نشر الُكتب الصوتية,
581,Media,5811.04,Publishing of encyclopedias etc. on CD-ROM,POST,UAE Media Council,نشر دوائر المعارف وما إليها على أقراص حاسوبية مدمجة,
581,Media,5811.11,E-books publishing,POST,UAE Media Council,نشر الكتب الإلكترونية,
581,Media,5811.15,Visual Recorded Media Distribution,POST,UAE Media Council,  توزيع الوسائط البصرية,
