Activity Code,Activity Name,Description
3290024,3D Printing Products," Production Includes firms specialized in producing products by the 3D printing through creating designs of objects with AutoCAD software, then the printer creates a three-dimensional object using lasers to fuse powdered materials together layer by layer, the powdered materials involve metal, plastic, rubber, silicon, ceramic, such technology involves different products and parts such as, jewelry, industrial parts, vehicles, dental and medical industry."
9609017,Accidents Casualties," Support Services Includes firms engaged in providing assistance and support to the persons who sustained injuries in accidents caused by land, air or sea means of transport, these persons might be away from home, the service involve visiting hospitals to relieve their suffering, communicate with their relatives abroad, undertake all the procedures to enable them go back home."
6920003,Accounting &," Bookkeeping Includes the offices specialized in setting and designing accounting systems for companies and firms, designing accounting documents, records and books, setting documentary cycles or other accounting processes. These offices offer services against fixed fees, but may not examine or audit accounts."
7730029,Accounting & Office," Machinery Rental Includes the rental of office equipment regardless of their use, such as accounting equipment, typewriters, photocopiers, computer sets, word processors, microfilm photography equipment.. etc."
8690012,Acupuncture Center, A health facility licensed to provide medical treatment through insertion of metal needles into the skin and underlying tissues. It is believed that the needle affects the hypothetical channels and burning spaces of the body. The site of insertion is chosen to affect a particular organ for treatment purpose.
8720003,Addiction," Rehabilitation Center A healthcare facility provides residential treatment for people recovering from addiction as part of continuum of care for effective treatment. It is characterized by a high level of psychological and social intervention at a critical stage of recovery. Residential treatment is most effective when people are immediately discharged from an in-patient hospital unit, or when their addiction symptomology requires a low level of assisted withdrawal and when abstinence is a goal of treatment. In addition residential treatment is most valuable where there is polydrug misuse, co- occurrence of substance misuse and mental illness or complex social and relationship issues."
1709101,Adhesive & Paper, Slitting Includes using slitting machines to cut large rolls of adhesives and papers into narrower rolls.
8810004,Adult Day Healthcare," Facility A non-residential facility specializing in providing services that are designed to meet the needs of functionally and/or cognitively impaired adults. Adult day health care facilities provide a caring, non-institutional setting for individuals who, for their own safety and well-being, can no longer be left at home alone. These facilities often provide protected settings and include a mixture of health and support services. Many offer specialized services such as programs for individuals with developmental disabilities, traumatic brain injury, HIV/AIDS, and vision and hearing impairments"
8549061,Advanced Driving," School Includes providing theoretical education and practical to light motor vehicles drivers who hold valid driving licenses to refresh and enhance awareness on safe driving on roads, upgrading skills to identify and avoid driving risks, enabling understanding driving psychology, educating on how to plan a driving trip before taking the road."
8549060,Advanced First Aid," Training Center A center specialized in scientifically designing and providing training programs in advanced first aid and its applications, in order to save a life or alleviate injury impacts to minimal level and facilitate therapeutic procedures to be done by the doctor."
127003,Advanced Growing of," Beverage Crops Includes agricultural firms specialized in advanced growing of beverages crops, using methods of hydroponics, vertical farming and greenhouses or other non- traditional methods to grow coffee, tea, cocoa and other beverage crops for commercial purposes. such firms are allowed to import materials used in the agricultural operations, such as, Seeds, chemical and organic fertilizers, pesticides, as well as the specialized agricultural tools."
123002,Advanced Growing of," Citrus Fruits Includes agricultural firms specialized in advanced growing of citrus fruits, using methods of hydroponics, vertical farming and greenhouses or other non- traditional methods to grow grapefruits, lemons, oranges, for commercial purposes or otherwise, such firms are allowed to import materials used in the agricultural operations, such as, Seeds, chemical and organic fertilizers, pesticides, as well as the specialized agricultural tools. This list is taken from the activity list of International Free Zone Authority (IFZA) and is subject to change without prior intimation by IFZA. T: +971 800 53425  E: clients@legalinz.com www.legalinz.com  IFZA Free Zone Activities List Professional License Activities Activity Code Activity Name Description"
111301,Advanced Growing of," Grains, Leguminous Crop & Oilseeds Includes agricultural firms specialized in advanced growing of grains crop and oilseeds, using methods of hydroponics, vertical farming and greenhouses or other non- traditional methods to grow wheat, corn grains, barley …etc, also, leguminous crops, such as, chickpeas, peas, beans …etc, and oilseeds for commercial purposes, such firms are allowed to import materials used in the agricultural operations, such as, seeds, chemical and organic fertilizers, pesticides, as well as the specialized agricultural tools."
119003,Advanced Growing of," Other Non- Perennial crops Includes agricultural firms specialized in advanced growing of non- perennial crops using methods of hydroponics, vertical farming and greenhouses or other non- traditional methods to grow fodder, maize and alfalfa, fodder seeds, fiowers and seeds to produce ornamental fiowers and fiower buds for commercial purposes, such firms are allowed to import materials used in the agricultural operations, such as, seeds, chemical and organic fertilizers, pesticides, as well as the specialized agricultural tools."
122002,Advanced Growing of," Palms & Fruits Includes agricultural firms specialized in advanced growing of date palms, using methods of hydroponics, vertical farming and greenhouses or other non- traditional methods, including seedlings separation and treatment, dates preservation, also applying the same techniques to grow tropical and subtropical fruits, such as, avocados, bananas, mangoes, papayas, pineapples …etc., such firms are allowed to import materials used in the agricultural operations, such as, seeds, chemical and organic fertilizers, pesticides, as well as the specialized agricultural tools."
128102,Advanced Growing of," Spices Includes agricultural firms specialized in advanced growing of spices, using methods of hydroponics, vertical farming and greenhouses or other non- traditional methods to grow black pepper, nutmeg, anise, cinnamon and other spice crops for commercial purposes. such firms are allowed to import materials used in the agricultural operations, such as, Seeds, chemical and organic fertilizers, pesticides, as well as the specialized agricultural tools."
113005,Advanced Growing of," Vegetables, Melons, Roots & Tubers Includes agricultural firms specialized in advanced growing by using methods of hydroponics, vertical farming and greenhouses or other non- traditional methods to grow leafy vegetables, fruits bearing vegetables, melon species, root-planting, tuberous vegetables., also, mushroom and other vegetable for commercial purpose, such firms are allowed to import materials used in the agricultural operations, such as, seeds, chemical and organic fertilizers, pesticides, as well as the specialized agricultural tools."
7310006,Advertisement," Designing & Producing Includes firms engaged in designing, creating commercial advertising to display in a printed medium such as a newspaper, magazine, periodicals, and also placing in radio, television, the Internet and other media"
7310017,Advertising," Researches & Consultancies includes providing advertising organizations advice and assistance on the creation of advertising campaigns and placement of such advertising in periodicals in order to encourage and persuade consumer behavior with respect to a commercial offering , also to employing different methodologies of research that works to improve the effectiveness and efficiency of advertising, such firms are not allowed to conduct field questionnaire before getting approval from the competent authority"
8129010,Advertising, Signboards Cleaning Services Includes cleaning signboards fixed on streets and roads.
7310003,Aerial Advertising," Services ncludes artworks, pictures, multiple word messages designed on banners fiown by airplane in short trips at altitudes and routes permitted by the authorities in charge of air traffic. Airplanes must meet the safety requirements set by the concerned authorities. No firm can practice this activity prior to obtaining the required approvals from the general aviation Authorities and Civil Aviation Department."
7420008,Aerial photography," services Includes firms which provide aerial photography services, satellite imagery, and related services, in addition to collection of their data including preparation of aerial photos and related non- engineering services, these firms may use the Remotely Piloted Aircraft System (RPAS)."
7110928,Aeronautical," Engineering Services Includes preparing airplane and other similar means of transport designs and drawings. It involves laying out detailed specifications of the materials required and equipment and engines as per each type and its area of utilization, the minimal qualifications required is bachelor degree in mechanical engineering, along with three years hands-on experience."
4620110,Agricultural Crops," Selling Includes agricultural firms engaged in selling agricultural crops from the local production, including wholesale or retail sale within the stores or farms or local markets."
7730026,Agricultural," Equipment & Machinery Rental Includes renting and leasing agricultural machinery for soil preparation, planting or fertilizing, ploughing, manure spreading, seeding, grass cutting, sorters, milkers, pesticides sprayers, poultry and bee-keeping."
7490015,Agricultural," Extension Services Includes firms which provide extension services to the public in terms of planting dates, fertilization, pest control methods, care and maintenance of agricultural production procedures and other extension services This list is taken from the activity list of International Free Zone Authority (IFZA) and is subject to change without prior intimation by IFZA. T: +971 800 53425  E: clients@legalinz.com www.legalinz.com  IFZA Free Zone Activities List Professional License Activities Activity Code Activity Name Description"
