DMCC ACTIVITY SHEET,,,,,,,,,,,,
Category,Activity Code,Activity Name,Activity Name (Arabic),License Type,Description,Business Plan ,Property Type,Restrictions,DMCC Requirements,Minimum Share Capital,Third Party No Objection Certificate 1 (Regulated Activities) ,Third Party No Objection Certificate 2 (Regulated Activities) 
Energy,1120-01,Oil & Natural Gas Well Drilling,حفر آبار النفط والغاز الطبيعي,Service,"Includes the process of drilling in the on and off shore oilfields for the extraction of petroleum after conducting the geological surveys to locate the petroleum reservoirs, the process involves the experimental and developmental drilling as well as constructing the derricks and fixing the casing pipes.",No,Any Type,Outside UAE only,,"50,000 AED per company",,
Energy,1120-03,Oil & Natural Gas Well Reinforcement Services,تدعيم آبار النفط والغاز الطبيعي,Service,"Includes firms specialized in reinforcing oil and natural gas wells using various techniques , including activated or processed cement pumping or other materials used to reinforce and coat wells for protection against erosion or interaction with the surrounding natural materials , raise the duration of possible utilization, or to maintain and redrill.",No,Any Type,Outside UAE only,,"50,000 AED per company",,
Energy,1120-05,Onshore & Offshore Oil & Gas Fields Services,خدمات حقول ومنشآت النفط والغاز البرية والبحرية,Service,"Includes providing technical and engineering services to enhance and develop production in the fields, it covers well drilling, testing and maintenance, drilling fluids engineering, diving for underwater pipes repair, pipe corrosion control, equipment repair and maintenance.",No,Any Type,Outside UAE only,,"50,000 AED per company",,
Energy,1120-06,Repairing Oil & Natural Gas Well Equipment Abroad,إصلاح معدات آبار النفط والغاز الطبيعي خارج الدولة,Service,"Includes the reparation and maintenance operations carried outside the UAE for the equipment involved in the various operations of oil and natural gas production, from primary stages of survey and exploration up to storage.",No,Any Type,Outside UAE only,,"50,000 AED per company",,
Energy,1120-07,Well Drilling & Oil & Natural Gas Development Abroad,حفر الآبار وتطوير حقول النفط والغاز الطبيعي خارج الدولة,Service,Includes the process carried outside the UAE for the drilling in the onshore and offshore oilfields for the extraction of petroleum and natural gas.,No,Any Type,Outside UAE only,,"50,000 AED per company",,
Food & Agro,1549-03,Tea Blending & Packaging,خلط الشاي وتعبئته,Industrial,Includes blending different types of tea to produce specially flavored brands and then pack for final consumption.,No,DMCC Tea Centre Facility,No Restriction,,"50,000 AED per company",,
Personal & Community Services,1810-14,Gents Tailoring,خياطة البدل والملابس الرجالية,Service,"Includes shops engaged in tailoring men's and boys' suits, shirts and pyjamas, also, men formal uniforms such as military and school clothing as well as work wear for staff and workers in the public and private sector.",No,Retail Shop,No Restriction,,"50,000 AED per company",,
Personal & Community Services,1810-15,Arab Wears Tailoring,خياطة الملابس الرجالية العربية,Service,"Includes shops engaged in tailoring Arab men's wear, such as ""dishdashas"" and others.",No,Retail Shop,No Restriction,,"50,000 AED per company",,
Personal & Community Services,1810-16,Ladies Tailoring,خياطة الملابس النسائية,Service,"Includes shops engaged in tailoring women and girls dresses, skirts, blouses, party dresses, wedding dresses, nightdresses, women formal uniforms such as military and school clothing as well as work wear for staff and workwomen in the public and private sector.",No,Retail Shop,No Restriction,,"50,000 AED per company",,
Personal & Community Services,1810-19,Arabic Gowns Tailoring,خياطة العباءات الرجالية البشوت,Service,Includes tailoring the wear over men gowns from knitted and crocheted fabrics.,No,Retail Shop,No Restriction,,"50,000 AED per company",,
Personal & Community Services,1810-20,Ladies Gowns Tailoring,خياطة العباءات النسائية وتطريزها,Service,"Includes the tailoring, sewing, embroidering and stitching of ladies' gowns, such as long Arab traditional dresses ""Jalabya"" and shawls. This also includes cutting, sewing and embroidering of ladies' head and face veils and covers.",No,Retail Shop,No Restriction,,"50,000 AED per company",,
Media & Marketing,2221-05,Cards & Envelopes Printing,طباعة البطاقات والمغلفات,Service,"Includes printing business cards, invitation cards to official events and celebrations, season's greeting cards and weddings congratulations cards. This also includes printing the envelopes.",No,Physical Office space,No Restriction,,"50,000 AED per company",,
Media & Marketing,2222-02,Typesetting Services,خدمات تنضيد الحروف للمطبوعات,Service,"Includes firms carrying out typesetting for final publishing of books, magazines, pamphlets, directories, brochures, catalogues and others, by using computer or other modern and traditional techniques.",No,Any Type,No Restriction,,"50,000 AED per company",,
Media & Marketing,2222-03,Color Separation Services,خدمات فرز الالوان,Service,"Includes firms specialized in providing pre-printing analysis and color separation services for photographs, drawings and other similar materials. It also includes preparing films and fixing the proportions used colors. This also includes any other related services.",No,Any Type,No Restriction,,"50,000 AED per company",,
